query,candidate,score
Anthropology_N7BS08I4,Anthropology_6P6EGA7N,0.65036094
Anthropology_N7BS08I4,Anthropology_6RJ3GHQ5,0.9339335
Anthropology_N7BS08I4,Anthropology_7FHJZZGK,0.6346374
Anthropology_N7BS08I4,Anthropology_8AGN64XL,0.54155165
Anthropology_N7BS08I4,Anthropology_923TITKQ,0.6337817
Anthropology_N7BS08I4,Anthropology_BC1HY2UY,0.82467526
Anthropology_N7BS08I4,Anthropology_CIXWBVYG,0.5776197
Anthropology_N7BS08I4,Anthropology_DJWS3KK8,0.8093285
Anthropology_N7BS08I4,Anthropology_FGVRE741,0.43981454
Anthropology_N7BS08I4,Anthropology_HIB4WTXI,0.6468681
Anthropology_N7BS08I4,Anthropology_HO15RRZW,0.54215604
Anthropology_N7BS08I4,Anthropology_HOIJOTIN,0.9777632
Anthropology_N7BS08I4,Anthropology_LYUJTGE7,0.5509288
Anthropology_N7BS08I4,Anthropology_O90S1ME4,0.60732216
Anthropology_N7BS08I4,Anthropology_PH6H77Q5,0.49629152
Anthropology_N7BS08I4,Anthropology_T6T18UM0,0.7821628
Anthropology_N7BS08I4,Anthropology_THBZ5J3U,0.55416775
Anthropology_N7BS08I4,Anthropology_VS4SJ2VH,0.65988815
Anthropology_N7BS08I4,Anthropology_W02BSMEB,0.95990264
Anthropology_N7BS08I4,Anthropology_WDPPPTFE,0.7213816
Archeology_8F1CBFNO,Archeology_103DGDZV,0.6422944
Archeology_8F1CBFNO,Archeology_2I1LR3PE,0.50340545
Archeology_8F1CBFNO,Archeology_5JMSND8D,0.6571648
Archeology_8F1CBFNO,Archeology_6B9M80O2,0.9352708
Archeology_8F1CBFNO,Archeology_8I4P40MG,0.74123657
Archeology_8F1CBFNO,Archeology_AQ6L6GT6,0.5838679
Archeology_8F1CBFNO,Archeology_B9OOAEDO,0.64129823
Archeology_8F1CBFNO,Archeology_D6FLEEPZ,0.5951384
Archeology_8F1CBFNO,Archeology_FF5E8II4,0.6837615
Archeology_8F1CBFNO,Archeology_GD8AFPK0,0.67656255
Archeology_8F1CBFNO,Archeology_K1VRJNVG,0.6076951
Archeology_8F1CBFNO,Archeology_K87AU5BH,0.6404311
Archeology_8F1CBFNO,Archeology_KYAYQ3S1,0.7317034
Archeology_8F1CBFNO,Archeology_MTZX272H,0.6344932
Archeology_8F1CBFNO,Archeology_PCF07UQN,0.63192797
Archeology_8F1CBFNO,Archeology_Q9AH8RVH,0.4258345
Archeology_8F1CBFNO,Archeology_UDOCUZRE,0.62587976
Archeology_8F1CBFNO,Archeology_UN5Z3JQI,0.52278596
Archeology_8F1CBFNO,Archeology_XWNREK8P,0.7203531
Archeology_8F1CBFNO,Archeology_ZXOI65FD,0.62461245
Architecture_EPZHPCF0,Architecture_0YLTZ9AT,0.95605576
Architecture_EPZHPCF0,Architecture_22N64KFS,0.60549283
Architecture_EPZHPCF0,Architecture_3I379U26,0.63010156
Architecture_EPZHPCF0,Architecture_3UEA3GE8,0.7237105
Architecture_EPZHPCF0,Architecture_7UQNUPQZ,0.6865674
Architecture_EPZHPCF0,Architecture_A9TGIQHG,0.5407495
Architecture_EPZHPCF0,Architecture_CAVIQK29,0.76899135
Architecture_EPZHPCF0,Architecture_CWNPGW90,0.7468878
Architecture_EPZHPCF0,Architecture_E30MY5ZP,0.6373196
Architecture_EPZHPCF0,Architecture_EJ8CX9J1,0.856756
Architecture_EPZHPCF0,Architecture_EPXSK28T,0.75990677
Architecture_EPZHPCF0,Architecture_ERW6Z8VB,0.48025715
Architecture_EPZHPCF0,Architecture_FPTOMJBC,0.7867915
Architecture_EPZHPCF0,Architecture_G1OL73D9,0.85034144
Architecture_EPZHPCF0,Architecture_KL0BLV0P,0.50621104
Architecture_EPZHPCF0,Architecture_LQCG1WU1,0.5244944
Architecture_EPZHPCF0,Architecture_MQC1A78M,0.79472166
Architecture_EPZHPCF0,Architecture_NVNQ65QD,0.90428954
Architecture_EPZHPCF0,Architecture_OM3WTOOB,0.74276435
Architecture_EPZHPCF0,Architecture_UHT6T0UZ,0.7288252
Art-History_YZMEPGTH,Art-History_1TDGNNQF,0.9374958
Art-History_YZMEPGTH,Art-History_4HEZ5EDJ,0.94394207
Art-History_YZMEPGTH,Art-History_5GAS442V,0.7057967
Art-History_YZMEPGTH,Art-History_9C3FUQUH,0.65873706
Art-History_YZMEPGTH,Art-History_C1UQBFOB,0.7263284
Art-History_YZMEPGTH,Art-History_CL472RL1,0.44911265
Art-History_YZMEPGTH,Art-History_CW81XE6V,0.9706203
Art-History_YZMEPGTH,Art-History_EKA024SC,0.5585387
Art-History_YZMEPGTH,Art-History_FPH90O7Y,0.5416459
Art-History_YZMEPGTH,Art-History_G1X3J1L7,0.44222236
Art-History_YZMEPGTH,Art-History_L5NWQVRR,0.68717915
Art-History_YZMEPGTH,Art-History_LMN4R7SG,0.71412694
Art-History_YZMEPGTH,Art-History_M1H8OJRJ,0.79628736
Art-History_YZMEPGTH,Art-History_P059P452,0.70102286
Art-History_YZMEPGTH,Art-History_S2H3TZR6,0.36889064
Art-History_YZMEPGTH,Art-History_TA8IRCD9,0.89079994
Art-History_YZMEPGTH,Art-History_UPFR2P3Y,0.98382765
Art-History_YZMEPGTH,Art-History_W0VUGKV0,0.8966733
Art-History_YZMEPGTH,Art-History_W3RTQOHM,0.81220067
Art-History_YZMEPGTH,Art-History_ZPTX497W,0.5342316
Astronautics_XVIHM20A,Astronautics_0YOZV8C2,0.60065776
Astronautics_XVIHM20A,Astronautics_2F8UZC5B,0.89336705
Astronautics_XVIHM20A,Astronautics_2TA3VP8O,0.6033169
Astronautics_XVIHM20A,Astronautics_2WZMTFC8,0.78426445
Astronautics_XVIHM20A,Astronautics_34CK9XH0,0.6100015
Astronautics_XVIHM20A,Astronautics_37XB2JA7,0.6793464
Astronautics_XVIHM20A,Astronautics_7M46BH8L,0.6531065
Astronautics_XVIHM20A,Astronautics_C7JHXTXT,0.53108037
Astronautics_XVIHM20A,Astronautics_G8KSJLQF,0.55764014
Astronautics_XVIHM20A,Astronautics_I4N2EX7Z,0.6134323
Astronautics_XVIHM20A,Astronautics_IY7PGU7M,0.950148
Astronautics_XVIHM20A,Astronautics_K1DZCJD7,0.8184162
Astronautics_XVIHM20A,Astronautics_KBT9H9FM,0.9401058
Astronautics_XVIHM20A,Astronautics_NF69T7VK,0.65219545
Astronautics_XVIHM20A,Astronautics_P4VS6KFR,0.9632615
Astronautics_XVIHM20A,Astronautics_Q51250KJ,0.79147255
Astronautics_XVIHM20A,Astronautics_QPT16HDX,0.9100969
Astronautics_XVIHM20A,Astronautics_SNL5AH9W,0.66070306
Astronautics_XVIHM20A,Astronautics_T2VY4II6,0.8389956
Astronautics_XVIHM20A,Astronautics_WAR7JZ2N,0.44838515
Astronomy_M8PJA0BO,Astronomy_05DJRFCO,0.6189766
Astronomy_M8PJA0BO,Astronomy_23U0H8WN,0.6736138
Astronomy_M8PJA0BO,Astronomy_85W6UYRL,0.7311995
Astronomy_M8PJA0BO,Astronomy_8DOYWLLP,0.79275936
Astronomy_M8PJA0BO,Astronomy_8WAVAYTG,0.8733784
Astronomy_M8PJA0BO,Astronomy_B74AVMIV,0.70895463
Astronomy_M8PJA0BO,Astronomy_BRD47WOK,0.69174147
Astronomy_M8PJA0BO,Astronomy_DBJJH7XE,0.7526005
Astronomy_M8PJA0BO,Astronomy_DK1Z5BY1,0.5557413
Astronomy_M8PJA0BO,Astronomy_GVTUIK15,0.81035304
Astronomy_M8PJA0BO,Astronomy_HADOIMZX,0.69337606
Astronomy_M8PJA0BO,Astronomy_HFKTCNUJ,0.73586535
Astronomy_M8PJA0BO,Astronomy_IZED1IPS,0.7779444
Astronomy_M8PJA0BO,Astronomy_JM58TL5C,0.6515678
Astronomy_M8PJA0BO,Astronomy_LBZ299PG,0.8129969
Astronomy_M8PJA0BO,Astronomy_QEBEM2IF,0.8468963
Astronomy_M8PJA0BO,Astronomy_R2JCPS50,0.7851553
Astronomy_M8PJA0BO,Astronomy_RYI0M7P8,0.6853641
Astronomy_M8PJA0BO,Astronomy_UU2ROEMI,0.7070229
Astronomy_M8PJA0BO,Astronomy_WOLYTSIL,0.68049276
Bioinformatics_LGZCPKR8,Bioinformatics_0SBOVVPN,0.9130113
Bioinformatics_LGZCPKR8,Bioinformatics_4FXZYK42,0.93328446
Bioinformatics_LGZCPKR8,Bioinformatics_5G8KQGUY,0.7198465
Bioinformatics_LGZCPKR8,Bioinformatics_8J9LQY3T,0.47917545
Bioinformatics_LGZCPKR8,Bioinformatics_8ZKEARJ2,0.6918858
Bioinformatics_LGZCPKR8,Bioinformatics_B2Y6O6AO,0.50551605
Bioinformatics_LGZCPKR8,Bioinformatics_D7GYT2DA,0.58654493
Bioinformatics_LGZCPKR8,Bioinformatics_HONGWULA,0.80357623
Bioinformatics_LGZCPKR8,Bioinformatics_IFL9NP6F,0.96467495
Bioinformatics_LGZCPKR8,Bioinformatics_KMP1LPTS,0.60645854
Bioinformatics_LGZCPKR8,Bioinformatics_MZCAQHIU,0.9589376
Bioinformatics_LGZCPKR8,Bioinformatics_NCP2VIRU,0.4832522
Bioinformatics_LGZCPKR8,Bioinformatics_OGKKC06G,0.6027615
Bioinformatics_LGZCPKR8,Bioinformatics_P1PFDIX5,0.8434033
Bioinformatics_LGZCPKR8,Bioinformatics_P2I4RKKB,0.57736045
Bioinformatics_LGZCPKR8,Bioinformatics_QN6C3BE3,0.9099728
Bioinformatics_LGZCPKR8,Bioinformatics_SEN509HX,0.83403355
Bioinformatics_LGZCPKR8,Bioinformatics_UL2AE5EM,0.55773
Bioinformatics_LGZCPKR8,Bioinformatics_XPMFB0BA,0.60127044
Bioinformatics_LGZCPKR8,Bioinformatics_YN3OERXC,0.5537549
Biology_90O7Y22T,Biology_1H8OJRJE,0.5493704
Biology_90O7Y22T,Biology_1TDGNNQF,0.9252827
Biology_90O7Y22T,Biology_2KTBCUDS,0.8000078
Biology_90O7Y22T,Biology_44P39JYM,0.70830715
Biology_90O7Y22T,Biology_5CI6VG2G,0.65111125
Biology_90O7Y22T,Biology_70LKLFYP,0.8050506
Biology_90O7Y22T,Biology_CL472RL1,0.6808687
Biology_90O7Y22T,Biology_FOH3HJ5S,0.3837759
Biology_90O7Y22T,Biology_H3TZR685,0.75260746
Biology_90O7Y22T,Biology_J0JE4QVZ,0.7363752
Biology_90O7Y22T,Biology_MI8X76RK,0.607423
Biology_90O7Y22T,Biology_O3Q3QA3S,0.7536912
Biology_90O7Y22T,Biology_OMQIGCT2,0.55510765
Biology_90O7Y22T,Biology_T5J284WV,0.7379494
Biology_90O7Y22T,Biology_UMPYO0CU,0.69038117
Biology_90O7Y22T,Biology_UQUHZ6A8,0.7629955
Biology_90O7Y22T,Biology_W0VUGKV0,0.84353155
Biology_90O7Y22T,Biology_WT1Q3TMY,0.81590885
Biology_90O7Y22T,Biology_X52DNR9I,0.9792579
Biology_90O7Y22T,Biology_YXGO4B9U,0.75410247
Business_CW8VL34L,Business_37WI9LI1,0.5340681
Business_CW8VL34L,Business_473J6IUU,0.9696913
Business_CW8VL34L,Business_9HQQ2NS5,0.58590287
Business_CW8VL34L,Business_9MX9SEY6,0.83891994
Business_CW8VL34L,Business_9XJM6Z6C,0.519819
Business_CW8VL34L,Business_GDSY0PKU,0.60232043
Business_CW8VL34L,Business_IE3CSMCM,0.7973477
Business_CW8VL34L,Business_IEPXXYCJ,0.78173316
Business_CW8VL34L,Business_K2043NVJ,0.6153894
Business_CW8VL34L,Business_K2W2CW1R,0.5629182
Business_CW8VL34L,Business_K5635T5B,0.9436166
Business_CW8VL34L,Business_KJKVCBFC,0.63302946
Business_CW8VL34L,Business_L8SUGFUS,0.7136394
Business_CW8VL34L,Business_MIP5BX9X,0.570389
Business_CW8VL34L,Business_S8AG1IQX,0.57776475
Business_CW8VL34L,Business_SFQM9RIT,0.5708992
Business_CW8VL34L,Business_SWDVRHX1,0.6210971
Business_CW8VL34L,Business_V6685T4B,0.5243579
Business_CW8VL34L,Business_X2EI7XZU,0.48712653
Business_CW8VL34L,Business_X69GUP3H,0.48119852
Climatology_CM3G7N4Y,Climatology_3DX90XDR,0.8431585
Climatology_CM3G7N4Y,Climatology_57QDXOEA,0.9349339
Climatology_CM3G7N4Y,Climatology_61II49M5,0.7673709
Climatology_CM3G7N4Y,Climatology_97PPER1U,0.54158205
Climatology_CM3G7N4Y,Climatology_AC4JXFPK,0.7815132
Climatology_CM3G7N4Y,Climatology_CILCMG5M,0.50939906
Climatology_CM3G7N4Y,Climatology_CSB7ITAT,0.7855735
Climatology_CM3G7N4Y,Climatology_DDWJ8GI5,0.78511006
Climatology_CM3G7N4Y,Climatology_GTCYFDVW,0.5762827
Climatology_CM3G7N4Y,Climatology_JGC3WJIQ,0.5956771
Climatology_CM3G7N4Y,Climatology_K82WU9UX,0.78212404
Climatology_CM3G7N4Y,Climatology_L8WU3R9K,0.6964634
Climatology_CM3G7N4Y,Climatology_OAYDT7CU,0.91199416
Climatology_CM3G7N4Y,Climatology_PL990GW3,0.5522679
Climatology_CM3G7N4Y,Climatology_QTFZNEU4,0.85880595
Climatology_CM3G7N4Y,Climatology_SZJIVF4D,0.50499165
Climatology_CM3G7N4Y,Climatology_TEN7GGO8,0.90678394
Climatology_CM3G7N4Y,Climatology_TUKC97HQ,0.9644971
Climatology_CM3G7N4Y,Climatology_UP8NY9QX,0.6413933
Climatology_CM3G7N4Y,Climatology_WIQC529S,0.4924681
Computer-Science_JPGJQMLJ,Computer-Science_1HSPTHDP,0.77811545
Computer-Science_JPGJQMLJ,Computer-Science_2277KXXS,0.8046906
Computer-Science_JPGJQMLJ,Computer-Science_2WB0DZ6X,0.80159914
Computer-Science_JPGJQMLJ,Computer-Science_46JD2GVF,0.76610637
Computer-Science_JPGJQMLJ,Computer-Science_87CVIYJK,0.6518211
Computer-Science_JPGJQMLJ,Computer-Science_8B6PJS1A,0.8009189
Computer-Science_JPGJQMLJ,Computer-Science_EL532UUJ,0.9134759
Computer-Science_JPGJQMLJ,Computer-Science_EVG9YSQJ,0.6975894
Computer-Science_JPGJQMLJ,Computer-Science_FT9YVI7F,0.7729876
Computer-Science_JPGJQMLJ,Computer-Science_HSFKR26J,0.80802995
Computer-Science_JPGJQMLJ,Computer-Science_I42AFBQN,0.76145095
Computer-Science_JPGJQMLJ,Computer-Science_K2C0XP2S,0.7934464
Computer-Science_JPGJQMLJ,Computer-Science_KMIQD4X9,0.80795336
Computer-Science_JPGJQMLJ,Computer-Science_OBUGVJIC,0.8356712
Computer-Science_JPGJQMLJ,Computer-Science_PT4MX23S,0.77334046
Computer-Science_JPGJQMLJ,Computer-Science_SEF6Y39C,0.8363439
Computer-Science_JPGJQMLJ,Computer-Science_TRDW6ET3,0.5847112
Computer-Science_JPGJQMLJ,Computer-Science_XBXTLNV5,0.7838521
Computer-Science_JPGJQMLJ,Computer-Science_XE78669B,0.7971684
Computer-Science_JPGJQMLJ,Computer-Science_YXQBWEWP,0.7653564
Cooking_ZUIB5SQ0,Cooking_2LYWBI45,0.67228246
Cooking_ZUIB5SQ0,Cooking_40KHIDKG,0.5801878
Cooking_ZUIB5SQ0,Cooking_5MMQ7MW0,0.2506577
Cooking_ZUIB5SQ0,Cooking_7OV77G1P,0.84060967
Cooking_ZUIB5SQ0,Cooking_AT0G7RI0,0.855896
Cooking_ZUIB5SQ0,Cooking_DE4M6HY7,0.59645045
Cooking_ZUIB5SQ0,Cooking_DH02YH9Q,0.66486907
Cooking_ZUIB5SQ0,Cooking_GQO3SQ3D,0.53914917
Cooking_ZUIB5SQ0,Cooking_JULF5VLU,0.9007602
Cooking_ZUIB5SQ0,Cooking_K5FI11Z1,0.7470669
Cooking_ZUIB5SQ0,Cooking_LSG4IQ9L,0.6254113
Cooking_ZUIB5SQ0,Cooking_MXAU7MBA,0.95866686
Cooking_ZUIB5SQ0,Cooking_N4VPAAFH,0.81424534
Cooking_ZUIB5SQ0,Cooking_RFXVLHZZ,0.69399065
Cooking_ZUIB5SQ0,Cooking_SXU1HGCA,0.93290555
Cooking_ZUIB5SQ0,Cooking_V1IV5WMK,0.963789
Cooking_ZUIB5SQ0,Cooking_WOT0VXQS,0.84733546
Cooking_ZUIB5SQ0,Cooking_WTIGY6TK,0.51692903
Cooking_ZUIB5SQ0,Cooking_YZPF322F,0.63156855
Cooking_ZUIB5SQ0,Cooking_ZYCMVO84,0.9432689
Criminology_JHT51TIW,Criminology_059SC5Z5,0.5817654
Criminology_JHT51TIW,Criminology_2O6OV3IS,0.65456533
Criminology_JHT51TIW,Criminology_4H5W21BK,0.71130157
Criminology_JHT51TIW,Criminology_5OD7B1U9,0.4907382
Criminology_JHT51TIW,Criminology_5TXZTFII,0.39000478
Criminology_JHT51TIW,Criminology_6G610G3Q,0.79371667
Criminology_JHT51TIW,Criminology_F1XL11FC,0.44599378
Criminology_JHT51TIW,Criminology_G05TPN9D,0.6503418
Criminology_JHT51TIW,Criminology_GD23HGG9,0.46810168
Criminology_JHT51TIW,Criminology_GX6M52Y4,0.915621
Criminology_JHT51TIW,Criminology_J41BHKJ2,0.6729078
Criminology_JHT51TIW,Criminology_LLZCF0TU,0.6678002
Criminology_JHT51TIW,Criminology_MBN4JP18,0.7606916
Criminology_JHT51TIW,Criminology_O5QVWC9R,0.8026251
Criminology_JHT51TIW,Criminology_OJ577FS3,0.4907382
Criminology_JHT51TIW,Criminology_PMSZDVAG,0.514497
Criminology_JHT51TIW,Criminology_QVLNLFQG,0.7266922
Criminology_JHT51TIW,Criminology_TJITP71S,0.7560639
Criminology_JHT51TIW,Criminology_WKL6CEV1,0.59883946
Criminology_JHT51TIW,Criminology_X4KNSF4I,0.5714758
Culture_4QOD4K7Y,Culture_2Q4NM8R9,0.8168712
Culture_4QOD4K7Y,Culture_2YYF8IWH,0.69671845
Culture_4QOD4K7Y,Culture_4UPAQYP2,0.7146119
Culture_4QOD4K7Y,Culture_5F62D3I6,0.82122207
Culture_4QOD4K7Y,Culture_8NPF727X,0.79032207
Culture_4QOD4K7Y,Culture_BZQANEC1,0.750234
Culture_4QOD4K7Y,Culture_D96M8JKU,0.74830353
Culture_4QOD4K7Y,Culture_E4CS0LI0,0.75878596
Culture_4QOD4K7Y,Culture_FO8CL0LC,0.7562125
Culture_4QOD4K7Y,Culture_HSXOOI4J,0.72728866
Culture_4QOD4K7Y,Culture_I7N9U47Y,0.7475467
Culture_4QOD4K7Y,Culture_IA9K044M,0.80001414
Culture_4QOD4K7Y,Culture_JPCHMB2U,0.9327631
Culture_4QOD4K7Y,Culture_MLZ16UFZ,0.9235251
Culture_4QOD4K7Y,Culture_PPD7OODG,0.7911283
Culture_4QOD4K7Y,Culture_RMHVK3QL,0.7581067
Culture_4QOD4K7Y,Culture_RSH8YZWJ,0.7393783
Culture_4QOD4K7Y,Culture_SCATGVS3,0.9601164
Culture_4QOD4K7Y,Culture_V8WQ4MPR,0.8045696
Culture_4QOD4K7Y,Culture_XPDH3TKZ,0.8247937
Ecology_DPJSAVHT,Ecology_00T2RJMG,0.7207908
Ecology_DPJSAVHT,Ecology_24BVN8NN,0.87647265
Ecology_DPJSAVHT,Ecology_4XLY54IK,0.7567607
Ecology_DPJSAVHT,Ecology_58FLM639,0.766608
Ecology_DPJSAVHT,Ecology_6RDQYB9R,0.7508046
Ecology_DPJSAVHT,Ecology_87C7G23C,0.8324846
Ecology_DPJSAVHT,Ecology_94JBY7CQ,0.7282835
Ecology_DPJSAVHT,Ecology_AR0OMNEL,0.8276422
Ecology_DPJSAVHT,Ecology_C9Y7DMS2,0.8055103
Ecology_DPJSAVHT,Ecology_FQUKHFH2,0.82521194
Ecology_DPJSAVHT,Ecology_IFY7O0PJ,0.94503415
Ecology_DPJSAVHT,Ecology_K1SD7J32,0.7801094
Ecology_DPJSAVHT,Ecology_KUE98HLU,0.9078539
Ecology_DPJSAVHT,Ecology_KY9YCKVJ,0.75125253
Ecology_DPJSAVHT,Ecology_L8IZ0U2B,0.7919074
Ecology_DPJSAVHT,Ecology_NI8MIT7I,0.79679585
Ecology_DPJSAVHT,Ecology_RD3AEYRX,0.701421
Ecology_DPJSAVHT,Ecology_ROOOBWF4,0.70464325
Ecology_DPJSAVHT,Ecology_TV5ZKBWW,0.84330356
Ecology_DPJSAVHT,Ecology_U3P1ZCYU,0.66602975
Economics_XSEF6Y39,Economics_16XBXTLN,0.80239433
Economics_XSEF6Y39,Economics_2W2CW1RD,0.50554
Economics_XSEF6Y39,Economics_55X7RF1F,0.62372184
Economics_XSEF6Y39,Economics_687CVIYJ,0.4537166
Economics_XSEF6Y39,Economics_C2MU46JD,0.919895
Economics_XSEF6Y39,Economics_CYXQBWEW,0.5052226
Economics_XSEF6Y39,Economics_F6LCP227,0.6336888
Economics_XSEF6Y39,Economics_FXOBUGVJ,0.42434376
Economics_XSEF6Y39,Economics_I42AFBQN,0.84325284
Economics_XSEF6Y39,Economics_IE3CSMCM,0.6260605
Economics_XSEF6Y39,Economics_IQD4X9G7,0.8403068
Economics_XSEF6Y39,Economics_K2C0XP2S,0.9562466
Economics_XSEF6Y39,Economics_MX23SY67,0.5748892
Economics_XSEF6Y39,Economics_P03EH58B,0.44234094
Economics_XSEF6Y39,Economics_SUGFUST2,0.79694617
Economics_XSEF6Y39,Economics_SY0VDVEV,0.7409924
Economics_XSEF6Y39,Economics_TZIFT9YV,0.6623123
Economics_XSEF6Y39,Economics_VICW8VL3,0.88387215
Economics_XSEF6Y39,Economics_WP0LF7XE,0.9490336
Economics_XSEF6Y39,Economics_Z84QCMSW,0.95641094
Engineering_FIJOYJNE,Engineering_00V830DN,0.82362723
Engineering_FIJOYJNE,Engineering_3J1L7R84,0.9027526
Engineering_FIJOYJNE,Engineering_3QXKHKTG,0.75650907
Engineering_FIJOYJNE,Engineering_452BFSOZ,0.7626128
Engineering_FIJOYJNE,Engineering_81XE6VA0,0.5820482
Engineering_FIJOYJNE,Engineering_B5UL5NWQ,0.63704467
Engineering_FIJOYJNE,Engineering_BPMBJPI4,0.99232304
Engineering_FIJOYJNE,Engineering_BY4AWTY0,0.66820043
Engineering_FIJOYJNE,Engineering_DQYUN3UV,0.8249463
Engineering_FIJOYJNE,Engineering_H8LMN4R7,0.7691925
Engineering_FIJOYJNE,Engineering_K3I8BZBF,0.7132728
